Arkansas,3013825
Arkansas County,17769
Ashley County,20046
Baxter County,41619
Benton County,272608
Boone County,37480
Bradley County,10897
Calhoun County,5277
Carroll County,28223
Chicot County,10438
Clark County,22061
Clay County,14847
Cleburne County,24965
Cleveland County,8018
Columbia County,23537
Conway County,20891
Craighead County,108558
Crawford County,63406
Crittenden County,48342
Cross County,16676
Dallas County,7182
Desha County,11512
Drew County,18328
Faulkner County,124806
Franklin County,17810
Fulton County,12269
Garland County,99154
Grant County,18188
Greene County,45325
Hempstead County,21741
Hot Spring County,33701
Howard County,13341
Independence County,37678
Izard County,13593
Jackson County,16811
Jefferson County,68114
Johnson County,26742
Lafayette County,6682
Lawrence County,16434
Lee County,8985
Lincoln County,13383
Little River County,12326
Logan County,21737
Lonoke County,73657
Madison County,16481
Marion County,16722
Miller County,43592
Mississippi County,41239
Monroe County,6900
Montgomery County,8924
Nevada County,8326
Newton County,7805
Ouachita County,23606
Perry County,10352
Phillips County,18029
Pike County,10673
Poinsett County,23974
Polk County,20049
Pope County,64000
Prairie County,8074
Pulaski County,392680
Randolph County,17948
St. Francis County,25439
Saline County,121421
Scott County,10319
Searcy County,7958
Sebastian County,127753
Sevier County,17139
Sharp County,17366
Stone County,12457
Union County,39126
Van Buren County,16603
Washington County,236961
White County,78727
Woodruff County,6490
Yell County,21535
