California,39557045
Alameda County,1666753
Alpine County,1101
Amador County,39383
Butte County,231256
Calaveras County,45602
Colusa County,21627
Contra Costa County,1150215
Del Norte County,27828
El Dorado County,190678
Fresno County,994400
Glenn County,28047
Humboldt County,136373
Imperial County,181827
Inyo County,17987
Kern County,896764
Kings County,151366
Lake County,64382
Lassen County,30802
Los Angeles County,10105518
Madera County,157672
Marin County,259666
Mariposa County,17471
Mendocino County,87606
Merced County,274765
Modoc County,8777
Mono County,14250
Monterey County,435594
Napa County,139417
Nevada County,99696
Orange County,3185968
Placer County,393149
Plumas County,18804
Riverside County,2450758
Sacramento County,1540975
San Benito County,61537
San Bernardino County,2171603
San Diego County,3343364
San Francisco County,883305
San Joaquin County,752660
San Luis Obispo County,284010
San Mateo County,769545
Santa Barbara County,446527
Santa Clara County,1937570
Santa Cruz County,274255
Shasta County,180040
Sierra County,2987
Siskiyou County,43724
Solano County,446610
Sonoma County,499942
Stanislaus County,549815
Sutter County,96807
Tehama County,63916
Trinity County,12535
Tulare County,465861
Tuolumne County,54539
Ventura County,850967
Yolo County,220408
Yuba County,78041
