North Carolina,10383620
Alamance County,166436
Alexander County,37353
Alleghany County,11161
Anson County,24877
Ashe County,27109
Avery County,17505
Beaufort County,47079
Bertie County,19026
Bladen County,33190
Brunswick County,136744
Buncombe County,259103
Burke County,90382
Cabarrus County,211342
Caldwell County,82029
Camden County,10710
Carteret County,69524
Caswell County,22698
Catawba County,158652
Chatham County,73139
Cherokee County,28383
Chowan County,14029
Clay County,11139
Cleveland County,97645
Columbus County,55655
Craven County,102912
Cumberland County,332330
Currituck County,27072
Dare County,36501
Davidson County,166614
Davie County,42733
Duplin County,58856
Durham County,316739
Edgecombe County,52005
Forsyth County,379099
Franklin County,67560
Gaston County,222846
Gates County,11573
Graham County,8484
Granville County,60115
Greene County,21012
Guilford County,533670
Halifax County,50574
Harnett County,134214
Haywood County,61971
Henderson County,116748
Hertford County,23659
Hoke County,54764
Hyde County,5230
Iredell County,178435
Jackson County,43327
Johnston County,202675
Jones County,9637
Lee County,61452
Lenoir County,55976
Lincoln County,83770
McDowell County,45507
Macon County,35285
Madison County,21763
Martin County,22671
Mecklenburg County,1093901
Mitchell County,15000
Montgomery County,27271
Moore County,98682
Nash County,94016
New Hanover County,232274
Northampton County,19676
Onslow County,197683
Orange County,146027
Pamlico County,12670
Pasquotank County,39639
Pender County,62162
Perquimans County,13422
Person County,39507
Pitt County,179914
Polk County,20611
Randolph County,143351
Richmond County,44887
Robeson County,131831
Rockingham County,90690
Rowan County,141262
Rutherford County,66826
Sampson County,63626
Scotland County,34810
Stanly County,62075
Stokes County,45467
Surry County,71948
Swain County,14245
Transylvania County,34215
Tyrrell County,4131
Union County,235908
Vance County,44582
Wake County,1092305
Warren County,19807
Washington County,11859
Watauga County,55945
Wayne County,123248
Wilkes County,68557
Wilson County,81455
Yadkin County,37543
Yancey County,17903
