Wisconsin,5813568
Adams County,20348
Ashland County,15600
Barron County,45164
Bayfield County,15042
Brown County,263378
Buffalo County,13125
Burnett County,15392
Calumet County,50159
Chippewa County,64135
Clark County,34709
Columbia County,57358
Crawford County,16291
Dane County,542364
Dodge County,87847
Door County,27610
Douglas County,43208
Dunn County,45131
Eau Claire County,104534
Florence County,4321
Fond du Lac County,103066
Forest County,8991
Grant County,51554
Green County,36929
Green Lake County,18918
Iowa County,23771
Iron County,5676
Jackson County,20478
Jefferson County,85129
Juneau County,26617
Kenosha County,169290
Kewaunee County,20383
La Crosse County,118230
Lafayette County,16665
Langlade County,19268
Lincoln County,27689
Manitowoc County,79074
Marathon County,135428
Marinette County,40434
Marquette County,15434
Menominee County,4658
Milwaukee County,948201
Monroe County,46051
Oconto County,37830
Oneida County,35470
Outagamie County,187365
Ozaukee County,89147
Pepin County,7289
Pierce County,42555
Polk County,43598
Portage County,70942
Price County,13397
Racine County,196584
Richland County,17377
Rock County,163129
Rusk County,14147
St. Croix County,89694
Sauk County,64249
Sawyer County,16489
Shawano County,40796
Sheboygan County,115456
Taylor County,20412
Trempealeau County,29442
Vernon County,30785
Vilas County,21938
Walworth County,103718
Washburn County,15878
Washington County,135693
Waukesha County,403072
Waupaca County,51128
Waushara County,24263
Winnebago County,171020
Wood County,73055
