Nebraska,1929268
Adams County,31511
Antelope County,6336
Arthur County,465
Banner County,730
Blaine County,476
Boone County,5239
Box Butte County,10772
Boyd County,1955
Brown County,2973
Buffalo County,49615
Burt County,6488
Butler County,8058
Cass County,26159
Cedar County,8446
Chase County,3977
Cherry County,5761
Cheyenne County,9310
Clay County,6214
Colfax County,10881
Cuming County,8940
Custer County,10840
Dakota County,20083
Dawes County,8716
Dawson County,23709
Deuel County,1825
Dixon County,5709
Dodge County,36791
Douglas County,566880
Dundy County,1770
Fillmore County,5527
Franklin County,3023
Frontier County,2608
Furnas County,4715
Gage County,21493
Garden County,1897
Garfield County,1987
Gosper County,1996
Grant County,660
Greeley County,2356
Hall County,61607
Hamilton County,9280
Harlan County,3401
Hayes County,916
Hitchcock County,2806
Holt County,10178
Hooker County,682
Howard County,6468
Jefferson County,7097
Johnson County,5134
Kearney County,6544
Keith County,8021
Keya Paha County,810
Kimball County,3618
Knox County,8419
Lancaster County,317272
Lincoln County,35185
Logan County,749
Loup County,618
McPherson County,492
Madison County,35392
Merrick County,7733
Morrill County,4686
Nance County,3532
Nemaha County,6958
Nuckolls County,4195
Otoe County,15985
Pawnee County,2632
Perkins County,2929
Phelps County,8996
Pierce County,7142
Platte County,33363
Polk County,5278
Red Willow County,10726
Richardson County,7937
Rock County,1360
Saline County,14350
Sarpy County,184459
Saunders County,21303
Scotts Bluff County,35989
Seward County,17318
Sheridan County,5190
Sherman County,3038
Sioux County,1187
Stanton County,5970
Thayer County,5039
Thomas County,720
Thurston County,7303
Valley County,4190
Washington County,20667
Wayne County,9403
Webster County,3533
Wheeler County,805
York County,13772
