,county,03/27,03/28,03/29,03/30,03/31,04/01,04/02
0,Atlantic,19.0,22.9,36.4,35.8,50.8,54.0,59.9
1,Bergen,2093.7,2644.1,3666.8,3953.4,5315.5,5938.0,6562.9
2,Burlington,114.2,147.0,202.8,210.6,288.3,317.7,360.7
3,Camden,134.1,166.9,224.3,246.8,329.9,362.1,411.7
4,Cape May,11.2,15.4,18.3,19.0,24.6,28.4,34.3
5,Cumberland,8.7,10.4,15.1,15.1,21.4,21.7,26.3
6,Essex,1104.6,1388.0,1915.4,2084.1,2770.5,3036.9,3501.0
7,Gloucester,59.8,75.7,107.9,114.6,150.4,168.6,189.7
8,Hudson,799.6,991.8,1377.4,1490.0,1971.3,2227.5,2511.1
9,Hunterdon,69.3,83.5,119.8,118.3,165.1,180.0,209.4
10,Mercer,202.5,267.1,385.6,411.6,551.9,615.3,725.9
11,Middlesex,906.3,1123.8,1577.6,1663.2,2252.9,2511.5,2829.9
12,Monmouth,889.2,1127.0,1540.5,1665.0,2190.6,2419.1,2761.2
13,Morris,588.5,736.0,1030.0,1084.5,1449.0,1594.4,1850.2
14,Ocean,700.0,825.7,1176.3,1189.2,1632.5,1799.5,2066.4
15,Passaic,714.2,920.7,1272.0,1369.9,1820.4,2030.5,2301.9
16,Salem,4.7,5.6,7.7,8.5,11.4,11.3,14.7
17,Somerset,326.0,406.0,566.7,617.8,808.7,892.1,1013.0
18,Sussex,88.5,108.9,144.5,159.8,214.8,240.5,262.7
19,Union,742.8,917.6,1260.6,1347.7,1760.5,1932.1,2175.6
20,Warren,57.8,74.7,103.1,111.2,153.6,166.9,186.8
